id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,total_area,property_age,price_per_sqft,year,month,year_month,city_state
984000650,2014-09-08,300000.0,4,2.0,2050,8750,1.0,0,0,3,7,1300,750,1967,0,98058,47.4324,-122.171,2050,8750,10800,58,146.34146341463415,2014,September,2014-09,"Renton, Washington"
2171400218,2015-04-16,245000.0,4,1.5,1280,8000,1.0,0,0,3,6,1280,0,1960,0,98178,47.4949,-122.255,1420,8211,9280,65,191.40625,2015,April,2015-04,"Seattle, Washington"
4147200040,2015-04-14,1085000.0,5,2.25,3650,13068,1.0,0,0,4,10,1850,1800,1976,0,98040,47.5458,-122.231,2760,13927,16718,49,297.26027397260276,2015,April,2015-04,"Mercer Island, Washington"
6113400047,2015-03-31,530000.0,4,2.25,2410,14985,1.0,0,1,4,7,1950,460,1965,0,98166,47.4278,-122.343,2510,15256,17395,60,219.91701244813277,2015,March,2015-03,"Seattle, Washington"
8021700725,2014-09-04,422500.0,3,2.0,1300,2250,2.0,0,0,3,7,1300,0,1988,0,98103,47.6923,-122.332,1300,4500,3550,37,325.0,2014,September,2014-09,"Seattle, Washington"
2372800050,2014-05-21,220000.0,3,1.0,1060,9126,1.0,0,2,5,7,1060,0,1956,0,98022,47.201,-121.999,1300,9126,10186,69,207.54716981132074,2014,May,2014-05,"Enumclaw, Washington"
9238430140,2014-07-25,595000.0,3,3.25,3130,28001,1.0,0,0,3,9,2210,920,1985,0,98072,47.7741,-122.122,2710,34999,31131,40,190.0958466453674,2014,July,2014-07,"Woodinville, Washington"
7550800915,2015-02-19,417200.0,2,1.0,1000,4000,1.0,0,0,3,6,1000,0,1910,0,98107,47.6742,-122.396,1490,5000,5000,115,417.2,2015,February,2015-02,"Seattle, Washington"
4055700920,2014-10-07,750000.0,2,2.0,2180,21392,2.0,0,0,3,8,2180,0,1934,1979,98034,47.7162,-122.246,2890,22000,23572,91,344.0366972477064,2014,October,2014-10,"Kirkland, Washington"
2600100300,2014-09-16,623000.0,4,2.5,2980,9235,1.0,0,0,4,8,1690,1290,1977,0,98006,47.5513,-122.162,2690,10046,12215,48,209.06040268456377,2014,September,2014-09,"Bellevue, Washington"
809002765,2014-10-22,610000.0,3,1.0,1180,3400,1.5,0,0,3,8,1180,0,1907,0,98109,47.6376,-122.353,1440,3400,4580,118,516.9491525423729,2014,October,2014-10,"Seattle, Washington"
405100165,2014-11-19,460000.0,2,1.5,1820,7800,1.0,0,0,4,7,1240,580,1956,0,98133,47.7513,-122.357,1400,7800,9620,69,252.74725274725276,2014,November,2014-11,"Seattle, Washington"
1762600260,2014-05-22,1050000.0,4,3.25,3440,35021,2.0,0,0,3,10,3440,0,1983,0,98033,47.6476,-122.184,3440,35021,38461,42,305.2325581395349,2014,May,2014-05,"Kirkland, Washington"
114100304,2014-12-03,515000.0,4,2.5,2800,21370,2.0,0,0,3,8,2800,0,2003,0,98028,47.776,-122.246,1880,9336,24170,22,183.92857142857142,2014,December,2014-12,"Kenmore, Washington"
7229000025,2014-07-07,300000.0,4,3.0,2200,10800,1.0,0,0,3,6,2200,0,1960,0,98058,47.4476,-122.169,1430,10800,13000,65,136.36363636363637,2014,July,2014-07,"Renton, Washington"
5130000080,2015-03-11,481000.0,4,2.5,2480,9869,1.0,0,0,4,8,1240,1240,1963,0,98028,47.7612,-122.229,2230,10310,12349,62,193.9516129032258,2015,March,2015-03,"Kenmore, Washington"
6116500028,2015-05-03,431000.0,3,1.75,1630,9000,1.0,0,0,4,7,1630,0,1956,0,98166,47.4521,-122.36,1600,11120,10630,69,264.4171779141104,2015,May,2015-05,"Seattle, Washington"
7338000730,2014-07-28,167000.0,3,1.5,1280,5547,2.0,0,0,4,6,1280,0,1985,0,98002,47.3344,-122.215,1150,4500,6827,40,130.46875,2014,July,2014-07,"Auburn, Washington"
2867300170,2015-05-13,498000.0,4,2.5,3402,14355,2.0,0,0,3,10,2846,556,2014,0,98023,47.3009,-122.385,3402,8487,17757,11,146.38447971781306,2015,May,2015-05,"Federal Way, Washington"
7853320250,2014-09-20,480000.0,3,2.5,2410,4656,2.0,0,0,3,7,2410,0,2009,0,98065,47.5203,-121.874,2410,4840,7066,16,199.1701244813278,2014,September,2014-09,"Snoqualmie, Washington"
3158500290,2014-09-19,387990.0,4,2.5,2640,5595,2.0,0,0,3,8,2640,0,2011,0,98038,47.3551,-122.054,1840,5011,8235,14,146.9659090909091,2014,September,2014-09,"Maple Valley, Washington"
943100683,2014-05-02,335000.0,3,2.25,1580,16215,1.0,0,0,4,7,1580,0,1978,0,98024,47.5643,-121.897,1450,16215,17795,47,212.0253164556962,2014,May,2014-05,"Fall City, Washington"
3236500220,2014-07-09,450000.0,3,2.5,1460,7573,2.0,0,0,3,8,1460,0,1983,0,98007,47.6012,-122.141,1910,7668,9033,42,308.2191780821918,2014,July,2014-07,"Bellevue, Washington"
7518500985,2014-09-03,591500.0,4,2.5,1690,4080,1.5,0,0,4,7,1140,550,1912,0,98117,47.6825,-122.379,1600,4590,5770,113,350.0,2014,September,2014-09,"Seattle, Washington"
4299700095,2014-05-16,254000.0,4,2.0,1510,4235,1.0,0,0,3,7,1510,0,1955,0,98108,47.546,-122.293,1510,4268,5745,70,168.21192052980132,2014,May,2014-05,"Seattle, Washington"
4112100165,2015-03-17,475000.0,3,3.0,2010,2554,2.0,0,0,3,7,1860,150,2001,0,98118,47.5525,-122.269,1370,5100,4564,24,236.318407960199,2015,March,2015-03,"Seattle, Washington"
4022901316,2014-10-31,475000.0,3,2.5,2480,6031,2.0,0,0,3,8,2480,0,2001,0,98155,47.772,-122.297,1850,7704,8511,24,191.53225806451613,2014,October,2014-10,"Seattle, Washington"
1026069155,2015-03-12,539000.0,3,2.0,1800,43995,2.0,0,0,3,8,1800,0,1988,0,98077,47.7585,-122.022,2290,51400,45795,37,299.44444444444446,2015,March,2015-03,"Woodinville, Washington"
6206100075,2015-05-12,700000.0,4,1.75,1980,10800,1.0,0,0,4,8,1320,660,1953,0,98005,47.5899,-122.173,2310,10800,12780,72,353.5353535353535,2015,May,2015-05,"Bellevue, Washington"
1796380310,2014-09-04,240000.0,3,2.0,1310,8069,1.0,0,0,3,7,1310,0,1990,0,98042,47.3694,-122.083,1310,8392,9379,35,183.206106870229,2014,September,2014-09,"Kent, Washington"
4206901550,2014-06-02,550000.0,3,2.5,1840,3035,1.0,0,0,3,7,920,920,1926,0,98105,47.6557,-122.327,1780,4000,4875,99,298.9130434782609,2014,June,2014-06,"Seattle, Washington"
2767704860,2014-07-28,650000.0,3,1.75,1550,5000,1.0,0,0,3,7,1250,300,1911,2011,98107,47.6722,-122.372,1110,5000,6550,114,419.35483870967744,2014,July,2014-07,"Seattle, Washington"
424069233,2014-05-31,660000.0,3,2.25,2675,40910,2.0,0,0,3,8,2675,0,1984,0,98075,47.5916,-122.055,2300,39438,43585,41,246.7289719626168,2014,May,2014-05,"Sammamish, Washington"
4140090420,2015-03-18,433000.0,3,1.75,2160,8565,1.0,0,0,3,8,1730,430,1971,0,98028,47.7664,-122.262,2910,9570,10725,54,200.46296296296296,2015,March,2015-03,"Kenmore, Washington"
7570050070,2015-02-05,419900.0,5,3.5,2880,5000,2.0,0,0,3,8,2260,620,2012,0,98038,47.3455,-122.023,2590,4800,7880,13,145.79861111111111,2015,February,2015-02,"Maple Valley, Washington"
2450000320,2014-05-23,607000.0,3,1.0,1230,8114,1.0,0,0,4,7,1230,0,1951,0,98004,47.5822,-122.196,2220,8114,9344,74,493.4959349593496,2014,May,2014-05,"Bellevue, Washington"
6116500075,2015-03-26,673000.0,4,2.5,2990,10400,2.0,0,0,3,9,2990,0,2002,0,98166,47.4508,-122.359,2140,17449,13390,23,225.08361204013377,2015,March,2015-03,"Seattle, Washington"
985000950,2015-02-27,217000.0,2,1.0,770,9715,1.0,0,0,4,6,770,0,1942,0,98168,47.4924,-122.312,1140,9715,10485,83,281.8181818181818,2015,February,2015-02,"Seattle, Washington"
3760500222,2014-06-03,830000.0,3,3.0,2080,10521,1.5,0,0,3,9,2080,0,2004,0,98034,47.6987,-122.228,3730,11840,12601,21,399.03846153846155,2014,June,2014-06,"Kirkland, Washington"
686400060,2014-08-20,521000.0,4,2.25,1890,8034,1.0,0,0,4,8,1890,0,1967,0,98008,47.6338,-122.117,1920,7210,9924,58,275.66137566137564,2014,August,2014-08,"Bellevue, Washington"
5451220200,2014-06-24,998000.0,4,2.25,2420,10200,2.0,0,0,4,9,2420,0,1973,0,98040,47.5336,-122.225,2390,10200,12620,52,412.39669421487605,2014,June,2014-06,"Mercer Island, Washington"
42000130,2014-09-24,600000.0,5,4.5,4440,9784,2.0,0,0,3,10,4440,0,2012,0,98168,47.4702,-122.275,2720,10080,14224,13,135.13513513513513,2014,September,2014-09,"Seattle, Washington"
1819800042,2014-11-14,460000.0,2,1.0,880,3300,1.0,0,0,4,7,880,0,1909,0,98107,47.6566,-122.36,1960,5500,4180,116,522.7272727272727,2014,November,2014-11,"Seattle, Washington"
9842300540,2014-06-24,339000.0,3,1.0,1100,4128,1.0,0,0,4,7,720,380,1942,0,98126,47.5296,-122.379,1510,4538,5228,83,308.1818181818182,2014,June,2014-06,"Seattle, Washington"
7147600220,2014-06-26,230000.0,3,1.0,1060,9946,1.0,0,0,4,7,1060,0,1956,0,98188,47.4432,-122.282,1310,10619,11006,69,216.9811320754717,2014,June,2014-06,"Seattle, Washington"
8562740370,2015-03-25,751000.0,4,2.5,2790,6538,2.0,0,0,3,9,2790,0,2003,0,98027,47.5349,-122.066,2990,6538,9328,22,269.17562724014334,2015,March,2015-03,"Issaquah, Washington"
2420069251,2015-02-25,262000.0,1,0.75,520,12981,1.0,0,0,5,3,520,0,1920,0,98022,47.2082,-121.995,1340,12233,13501,105,503.84615384615387,2015,February,2015-02,"Enumclaw, Washington"
7922710520,2015-05-07,615000.0,4,2.25,1780,10260,2.0,0,0,3,8,1780,0,1971,0,98052,47.6647,-122.142,2360,10080,12040,54,345.5056179775281,2015,May,2015-05,"Redmond, Washington"
4022900125,2014-09-02,605000.0,4,2.5,2430,11870,1.0,0,0,5,8,1590,840,1968,0,98155,47.7761,-122.285,2430,9600,14300,57,248.97119341563786,2014,September,2014-09,"Seattle, Washington"
5076700145,2015-04-27,550000.0,3,1.0,1140,8180,1.0,0,0,3,7,1140,0,1959,0,98005,47.5851,-122.172,1510,8588,9320,66,482.4561403508772,2015,April,2015-04,"Bellevue, Washington"
2938100005,2014-08-29,264950.0,3,1.5,1370,10115,1.0,0,0,4,7,1370,0,1957,0,98022,47.2027,-122.0,1450,9282,11485,68,193.3941605839416,2014,August,2014-08,"Enumclaw, Washington"
6381500170,2015-01-16,365000.0,2,1.0,910,7617,1.0,0,0,3,6,910,0,1936,0,98125,47.7332,-122.305,1310,6624,8527,89,401.0989010989011,2015,January,2015-01,"Seattle, Washington"
2953000090,2014-12-02,244900.0,3,1.5,1360,9980,1.0,0,0,4,7,1360,0,1966,0,98031,47.4143,-122.206,1360,9750,11340,59,180.0735294117647,2014,December,2014-12,"Kent, Washington"
928000020,2015-01-28,466000.0,3,2.25,1880,7279,1.0,0,0,3,7,1280,600,1962,0,98155,47.7574,-122.322,2020,8274,9159,63,247.87234042553192,2015,January,2015-01,"Seattle, Washington"
644000102,2015-04-13,650000.0,3,1.0,1520,10227,1.0,0,0,4,6,1520,0,1951,0,98004,47.5872,-122.196,2710,10912,11747,74,427.63157894736844,2015,April,2015-04,"Bellevue, Washington"
2320069248,2014-07-01,165050.0,3,1.0,1200,8514,1.0,0,0,3,7,1200,0,1959,0,98022,47.2043,-122.008,1210,8985,9714,66,137.54166666666666,2014,July,2014-07,"Enumclaw, Washington"
3423059153,2014-10-08,785000.0,4,3.0,3370,100681,1.0,0,0,5,8,1920,1450,1977,0,98058,47.4319,-122.148,2440,43705,104051,48,232.93768545994067,2014,October,2014-10,"Renton, Washington"
6084601060,2014-07-18,270000.0,3,2.5,1770,8640,1.0,0,0,3,7,1420,350,1986,0,98001,47.326,-122.273,1894,7974,10410,39,152.54237288135593,2014,July,2014-07,"Auburn, Washington"
3798000130,2014-07-25,468000.0,4,1.75,2250,8580,1.0,0,0,4,7,1330,920,1958,0,98011,47.7633,-122.199,2250,10032,10830,67,208.0,2014,July,2014-07,"Bothell, Washington"
3644100101,2014-07-07,374000.0,2,1.5,1260,1575,2.0,0,0,3,7,1260,0,2001,0,98144,47.5914,-122.295,1220,1740,2835,24,296.8253968253968,2014,July,2014-07,"Seattle, Washington"
4204400175,2015-02-17,439000.0,5,3.5,2880,10000,2.0,0,3,3,8,1980,900,1991,0,98055,47.4874,-122.223,2120,9535,12880,34,152.43055555555554,2015,February,2015-02,"Renton, Washington"
4142450510,2014-07-23,310000.0,3,2.5,1990,3600,2.0,0,0,3,7,1990,0,2004,0,98038,47.3841,-122.041,1790,3600,5590,21,155.7788944723618,2014,July,2014-07,"Maple Valley, Washington"
5706000070,2014-10-14,589000.0,4,2.5,2630,15000,2.0,0,0,5,8,2630,0,1962,0,98027,47.5262,-122.028,1770,8700,17630,63,223.95437262357413,2014,October,2014-10,"Issaquah, Washington"
236400130,2015-01-23,239975.0,3,2.5,1820,7242,1.0,0,0,3,7,1220,600,1959,0,98188,47.4318,-122.292,1350,8214,9062,66,131.8543956043956,2015,January,2015-01,"Seattle, Washington"
3024079057,2014-07-30,410000.0,3,1.5,1750,32500,1.0,0,0,4,7,1750,0,1966,0,98027,47.5316,-121.959,1820,102801,34250,59,234.28571428571428,2014,July,2014-07,"Issaquah, Washington"
11200070,2014-07-21,570000.0,3,2.5,1530,3296,2.0,0,0,3,8,1530,0,1998,0,98007,47.6181,-122.138,1530,4099,4826,27,372.54901960784315,2014,July,2014-07,"Bellevue, Washington"
7852150140,2014-10-07,381000.0,3,2.5,1470,3999,2.0,0,0,3,7,1470,0,2003,0,98065,47.5328,-121.871,1960,4444,5469,22,259.18367346938777,2014,October,2014-10,"Snoqualmie, Washington"
2607720150,2014-06-05,492000.0,4,3.75,2810,10840,2.0,0,2,4,8,2070,740,1994,0,98045,47.4861,-121.804,2370,11248,13650,31,175.08896797153025,2014,June,2014-06,"North Bend, Washington"
3278603000,2015-05-04,459000.0,3,3.0,2440,2076,2.0,0,0,3,8,1930,510,2006,0,98126,47.5476,-122.37,2440,2310,4516,19,188.11475409836066,2015,May,2015-05,"Seattle, Washington"
4222100280,2014-12-05,239999.0,3,2.75,1740,8436,1.0,0,0,3,7,1140,600,1967,0,98003,47.3456,-122.305,1550,8436,10176,58,137.93045977011494,2014,December,2014-12,"Federal Way, Washington"
4166800320,2014-11-10,350000.0,4,2.5,2506,7206,2.0,0,0,3,8,2506,0,2007,0,98023,47.3236,-122.337,2441,7220,9712,18,139.66480446927375,2014,November,2014-11,"Federal Way, Washington"
2877101745,2014-08-04,898500.0,4,2.75,2890,5000,1.5,0,0,3,8,1990,900,1911,2014,98117,47.6768,-122.363,1080,3750,7890,114,310.89965397923874,2014,August,2014-08,"Seattle, Washington"
1223089077,2015-04-01,718000.0,3,1.75,4060,136290,1.0,0,0,3,8,2810,1250,1995,0,98045,47.4843,-121.719,1300,51836,140350,30,176.84729064039408,2015,April,2015-04,"North Bend, Washington"
3125079062,2015-04-26,589000.0,3,2.5,2660,206480,1.0,0,0,3,8,2660,0,1989,0,98024,47.6042,-121.956,2660,206736,209140,36,221.42857142857142,2015,April,2015-04,"Fall City, Washington"
2698200210,2014-09-08,274000.0,3,1.75,1440,7198,1.0,0,0,3,7,990,450,1981,0,98055,47.4333,-122.194,1550,7156,8638,44,190.27777777777777,2014,September,2014-09,"Renton, Washington"
6802200230,2015-02-09,220000.0,3,2.5,1430,9044,2.0,0,0,3,7,1430,0,1991,0,98022,47.1956,-121.986,1580,8624,10474,34,153.84615384615384,2015,February,2015-02,"Enumclaw, Washington"
1982200480,2015-04-02,724950.0,4,2.5,2860,3638,1.5,0,2,5,7,1720,1140,1924,0,98107,47.6631,-122.361,1760,3880,6498,101,253.479020979021,2015,April,2015-04,"Seattle, Washington"
7504100910,2014-10-06,535000.0,3,2.5,2400,12546,1.0,0,0,3,9,2400,0,1983,0,98074,47.6317,-122.041,2940,12150,14946,42,222.91666666666666,2014,October,2014-10,"Sammamish, Washington"
1926069143,2014-10-16,865000.0,4,3.25,3400,99170,1.0,0,0,4,8,2000,1400,1980,0,98072,47.7293,-122.099,3460,47920,102570,45,254.41176470588235,2014,October,2014-10,"Woodinville, Washington"
3630120880,2015-02-27,780000.0,3,3.5,3310,5558,2.0,0,0,3,9,3310,0,2005,0,98029,47.5553,-122.003,3310,5270,8868,20,235.64954682779455,2015,February,2015-02,"Issaquah, Washington"
114101426,2014-06-17,375000.0,3,1.75,1160,22470,1.0,0,0,4,7,1160,0,1976,0,98028,47.7595,-122.23,1940,15999,23630,49,323.2758620689655,2014,June,2014-06,"Kenmore, Washington"
2324039152,2014-08-18,624000.0,4,1.75,2710,9216,1.0,0,0,3,8,1440,1270,1961,0,98126,47.5523,-122.379,1960,6350,11926,64,230.25830258302582,2014,August,2014-08,"Seattle, Washington"
4077800438,2014-12-31,518000.0,4,1.75,1780,8768,1.0,0,0,4,7,1050,730,1951,0,98125,47.7085,-122.283,1590,8100,10548,74,291.0112359550562,2014,December,2014-12,"Seattle, Washington"
3905090130,2014-07-17,658100.0,4,2.5,2430,8509,2.0,0,0,3,9,2430,0,1992,0,98029,47.5714,-121.991,2760,8509,10939,33,270.8230452674897,2014,July,2014-07,"Issaquah, Washington"
7011200830,2014-09-09,783200.0,4,2.0,1590,5400,1.0,0,2,3,7,990,600,1900,0,98119,47.637,-122.367,2190,4800,6990,125,492.57861635220127,2014,September,2014-09,"Seattle, Washington"
7234600786,2014-05-11,842500.0,4,2.5,2160,5298,2.5,0,0,4,9,2160,0,1902,0,98122,47.6106,-122.31,1720,2283,7458,123,390.0462962962963,2014,May,2014-05,"Seattle, Washington"
3629920630,2015-03-25,638000.0,3,2.5,2170,5000,2.0,0,0,3,9,2170,0,2003,0,98029,47.5453,-121.996,2170,5000,7170,22,294.00921658986175,2015,March,2015-03,"Issaquah, Washington"
4468400214,2014-10-10,318000.0,3,2.25,1250,1017,3.0,0,0,3,8,1250,0,2008,0,98133,47.7099,-122.333,1250,1017,2267,17,254.4,2014,October,2014-10,"Seattle, Washington"
2641400290,2014-10-28,349000.0,4,2.5,1800,7620,2.0,0,0,3,8,1800,0,1995,0,98055,47.4346,-122.201,1800,6879,9420,30,193.88888888888889,2014,October,2014-10,"Renton, Washington"
7625701891,2014-08-06,435000.0,3,1.0,1400,4800,1.0,0,0,4,6,700,700,1917,0,98136,47.5499,-122.391,1470,6000,6200,108,310.7142857142857,2014,August,2014-08,"Seattle, Washington"
8645540320,2014-11-18,307000.0,3,2.0,1790,7259,1.0,0,0,3,7,1390,400,1980,0,98058,47.4643,-122.171,1790,7700,9049,45,171.50837988826817,2014,November,2014-11,"Renton, Washington"
3521069146,2015-03-30,485000.0,3,2.5,3340,70131,2.0,0,0,3,9,2420,920,1994,0,98022,47.2666,-122.015,2760,116740,73471,31,145.20958083832335,2015,March,2015-03,"Enumclaw, Washington"
3205100060,2015-04-13,517100.0,3,1.75,1580,9719,1.0,0,0,5,7,1580,0,1962,0,98056,47.5396,-122.18,1760,8539,11299,63,327.27848101265823,2015,April,2015-04,"Renton, Washington"
9826700726,2014-10-06,505000.0,3,2.5,1995,1483,3.0,0,0,3,8,1760,235,2005,0,98102,47.6025,-122.31,1520,1173,3478,20,253.1328320802005,2014,October,2014-10,"Seattle, Washington"
8819901030,2014-11-18,810000.0,3,2.0,2390,8025,2.0,0,0,5,7,2390,0,1921,0,98105,47.6707,-122.288,1920,5350,10415,104,338.9121338912134,2014,November,2014-11,"Seattle, Washington"
924069176,2014-09-03,710000.0,4,2.75,2710,41811,1.5,0,0,4,8,1690,1020,1995,0,98075,47.5836,-122.046,2110,35656,44521,30,261.99261992619927,2014,September,2014-09,"Sammamish, Washington"
3797300110,2014-10-27,330000.0,3,2.0,2500,10697,1.0,0,0,3,8,2500,0,1994,0,98022,47.1927,-122.01,2560,9772,13197,31,132.0,2014,October,2014-10,"Enumclaw, Washington"
2770604665,2015-02-02,612125.0,2,1.5,1670,6000,1.0,0,0,3,7,1090,580,1950,0,98119,47.6517,-122.374,1670,6000,7670,75,366.5419161676647,2015,February,2015-02,"Seattle, Washington"
8151600941,2014-08-28,340000.0,3,1.75,1720,10710,1.0,0,0,3,7,860,860,1957,0,98146,47.5092,-122.362,1480,10359,12430,68,197.67441860465115,2014,August,2014-08,"Seattle, Washington"
9560800040,2014-07-16,485000.0,3,2.5,1800,11034,2.0,0,0,4,8,1800,0,1987,0,98072,47.7558,-122.142,1940,8900,12834,38,269.44444444444446,2014,July,2014-07,"Woodinville, Washington"
1332300110,2015-02-23,340000.0,3,2.5,3040,6255,2.0,0,0,3,7,3040,0,1999,0,98030,47.3817,-122.206,2670,6259,9295,26,111.84210526315789,2015,February,2015-02,"Kent, Washington"
1545808560,2015-04-03,245000.0,3,2.5,1530,8500,1.0,0,0,5,7,1030,500,1996,0,98038,47.3592,-122.046,1850,8140,10030,29,160.13071895424838,2015,April,2015-04,"Maple Valley, Washington"
4123800330,2015-05-01,335000.0,3,2.25,1870,5876,2.0,0,0,3,7,1870,0,1986,0,98038,47.3779,-122.045,1670,6203,7746,39,179.14438502673798,2015,May,2015-05,"Maple Valley, Washington"
1370804115,2014-11-06,515000.0,2,1.0,1640,5200,1.0,0,0,4,7,1040,600,1937,0,98199,47.6426,-122.403,1780,5040,6840,88,314.0243902439024,2014,November,2014-11,"Seattle, Washington"
2824089053,2015-01-27,474950.0,3,2.0,2250,222156,1.0,0,0,3,7,2250,0,1987,0,98065,47.542,-121.792,2110,121968,224406,38,211.0888888888889,2015,January,2015-01,"Snoqualmie, Washington"
3395041236,2014-10-23,300000.0,3,2.5,1800,3253,2.0,0,0,3,7,1800,0,2001,0,98108,47.5401,-122.292,1800,3081,5053,24,166.66666666666666,2014,October,2014-10,"Seattle, Washington"
2115720130,2014-08-21,289950.0,3,2.5,2070,5013,2.0,0,0,3,8,2070,0,1987,0,98023,47.3202,-122.395,1670,5013,7083,38,140.07246376811594,2014,August,2014-08,"Federal Way, Washington"
1644510040,2014-05-28,681716.0,4,2.5,3150,7277,2.0,0,0,3,9,3150,0,2006,0,98056,47.5159,-122.202,3030,8643,10427,19,216.4177777777778,2014,May,2014-05,"Renton, Washington"
7147400045,2015-04-28,355000.0,3,1.75,1870,8250,2.0,0,0,3,7,1870,0,1956,1979,98188,47.445,-122.285,1350,8714,10120,69,189.83957219251337,2015,April,2015-04,"Seattle, Washington"
6840701135,2014-11-10,593000.0,5,2.5,2640,4400,1.5,0,0,5,7,1840,800,1925,0,98122,47.605,-122.3,1720,4400,7040,100,224.62121212121212,2014,November,2014-11,"Seattle, Washington"
5255300150,2015-05-11,510000.0,3,1.75,1950,8325,1.0,0,0,4,7,1950,0,1962,0,98011,47.7685,-122.2,1950,8325,10275,63,261.53846153846155,2015,May,2015-05,"Bothell, Washington"
6117500785,2014-07-22,590000.0,3,2.25,2300,12430,1.0,0,2,4,8,1580,720,1960,0,98166,47.435,-122.347,2500,12430,14730,65,256.5217391304348,2014,July,2014-07,"Seattle, Washington"
4345000170,2015-05-04,210000.0,3,2.75,1320,15236,1.0,0,0,3,7,880,440,1995,0,98030,47.365,-122.184,1490,8351,16556,30,159.0909090909091,2015,May,2015-05,"Kent, Washington"
3022079080,2014-07-15,650000.0,4,2.5,3420,222156,2.0,0,0,3,9,3420,0,2002,0,98010,47.3608,-121.97,3340,222156,225576,23,190.05847953216374,2014,July,2014-07,"Black Diamond, Washington"
3630060040,2014-09-11,285000.0,2,1.0,1050,3088,1.0,0,0,3,7,1050,0,2005,0,98029,47.5471,-121.996,1890,2772,4138,20,271.42857142857144,2014,September,2014-09,"Issaquah, Washington"
6150700169,2014-06-09,304700.0,2,1.0,740,5995,1.0,0,0,4,7,740,0,1949,0,98133,47.7291,-122.337,1140,5995,6735,76,411.7567567567568,2014,June,2014-06,"Seattle, Washington"
1545807610,2015-04-29,270500.0,3,2.5,1780,7848,1.0,0,0,3,7,1320,460,1978,0,98038,47.3608,-122.056,1680,7848,9628,47,151.96629213483146,2015,April,2015-04,"Maple Valley, Washington"
